bulgarian,english,french,irish,german,greek,spanish,swedish,italian,portuguese
AZ SAM UCHITEL,I AM A TEACHER,JE SUIS ENSEIGNANT,IS MUINTEOIR ME,ICH BIN EIN LEHRER,EIMAI DASKALOS,SOY PROFESORA,JAG AR EN LARARE,SONO UN INSEGNANTE,SOU PROFESSOR
IVAN E LEKAR,IVAN IS A DOCTOR,IVAN EST UN DOCTEUR,IS DOCHTUIR E IVAN,IVAN IST ARZT,O IVAN EINAI GIATROS,IVAN ES MEDICO.,IVAN AR LAKARE,IVAN E UN DOTTORE,IVAN E MEDICO
TOVA E KASHTA,THIS IS A HOUSE,CETTE EST UNE MAISON,IS TEACH E SEO,DAS IST EIN HAUS,AFTO EINAI ENA SPITI,ESTA ES UNA CASA,DET HAR AR ETT HUS,QUESTA E UNA CASA,ESTA E UMA CASA
ONOVA E MAGAZIN,THAT IS A SHOP,CE EST UNE BOUTIQUE,IS SIOPA E SIN,DAS IST EIN GESCHAFT,AFTO EINAI ENA MAGAZI,ESO ES UNA TIENDA,DET AR EN BUTIK,QUELLO E UN NEGOZIO,ISSO E UMA LOJA
AZ SAM STROG UCHITEL,I AM A STRICT TEACHER,JE SUIS UN PROFESSEUR STRICT,IS MUINTEOIR DIAN ME,ICH BIN EIN STRENGER LEHRER,EIMAI AFSTIROS DASKALOS,SOY UNA PROFESORA ESTRICTA,JAG AR EN STRIKT LARARE,SONO UN INSEGNANTE SEVERO,EU SOU UM PROFESSOR RIGOROSO
IVAN E DOBAR LEKAR,IVAN IS A GOOD DOCTOR,IVAN EST UN BON DOCTEUR,IS DOCHTUIR MAITH E IVAN,IVAN IST EIN GUTER ARZT,O IVAN EINAI KALOS GIATROS,IVAN ES UN BUEN MEDICO.,IVAN AR EN BRA LAKARE,IVAN E UN BRAVO DOTTORE,IVAN E UM BOM MEDICO
YULIA E MOYAT UCHITEL,JULIA IS MY TEACHER,JULIA EST MON PROFESSEUR,IS I JULIA MO MHUINTEOIR,JULIA IST MEINE LEHRERIN,I TZOULIA EINAI I DASKALA MOU,JULIA ES MI MAESTRA,JULIA AR MIN LARARE,GIULIA E LA MIA INSEGNANTE,JULIA E MINHA PROFESSORA
TOVA E NASHATA KASHTA,THIS IS OUR HOUSE,CETTE EST NOTRE MAISON,IS E SEO AR DTEACH,DAS IST UNSER HAUS,AFTO EINAI TO SPITI MAS,ESTA ES NUESTRA CASA,DET HAR AR VART HUS,QUESTA E LA NOSTRA CASA,ESTA E NOSSA CASA
YULIA E MOYAT NOV UCHITEL,JULIA IS MY NEW TEACHER,JULIA EST MON NOUVEAU PROFESSEUR,IS I JULIA MO MHUINTEOIR NUA,JULIA IST MEINE NEUE LEHRERIN,I TZOULIA EINAI I NEA MOU DASKALA,JULIA ES MI NUEVA MAESTRA,JULIA AR MIN NYA LARARE,JULIA E LA MIA NUOVA INSEGNANTE,JULIA E MINHA NOVA PROFESSORA
IVAN E NASH DOBAR PRIYATEL,IVAN IS OUR GOOD FRIEND,IVAN EST NOTRE BON AMI,IS E IVAN AR GCARA MAITH,IVAN IST UNSER GUTER FREUND,O IVAN EINAI O KALOS MAS FILOS,IVAN ES NUESTRO BUEN AMIGO,IVAN AR VAR GODA VAN,IVAN E UN NOSTRO BUON AMICO,IVAN E NOSSO BOM AMIGO
TI SI KRASIVA,YOU ARE BEAUTIFUL,TU ES BELLE,TA TU GO HALAINN,DU BIST SCHON,EISAI OMORFI,ERES HERMOSA,DU AR VACKER,SEI BELLO,VOCE E LINDO
TI SI MNOGO KRASIVA TAZI VECHER,YOU ARE VERY BEAUTIFUL TONIGHT,TU ES BIEN BELLE CE SOIR,TA TU AN-ALAINN ANOCHT,DU BIST HEUTE ABEND SEHR SCHON,EISAI POLY OMORFI APOPSE,ERES MUY HERMOSA ESTA NOCHE,DU AR VALDIGT VACKER IKVALL,SEI MOLTO BELLA STASERA,VOCE ESTA MUITO BONITA ESTA NOITE
TI SI MNOGO SILEN,YOU ARE VERY STRONG,TU ES BIEN FORT,TA TU AN-LAIDIR,DU BIST SEHR STARK,EISAI POLY DYNATOS,ERES MUY FUERTE,DU AR VALDIGT STARK,SEI MOLTO FORTE,VOCE E MUITO FORTE
TI SI MNOGO SMEL,YOU ARE VERY BRAVE,TU ES BIEN COURAGEUSE,TA TU AN-CROGA,DU BIST SEHR MUTIG,EISAI POLY GENNAIOS,ERES MUY VALIENTE,DU AR VALDIGT MODIG,SEI MOLTO CORAGGIOSO,VOCE E MUITO CORAJOSO
TOVA TSVETE E PREKRASNO,THIS FLOWER IS WONDERFUL,CETTE FLEUR EST MAGNIFIQUE,TA AN BLATH SEO IONTACH,DIESE BLUME IST WUNDERBAR,AFTO TO LOULOUDI EINAI YPEROCHO,ESTA FLOR ES MARAVILLOSA,DEN HAR BLOMMAN AR UNDERBAR,QUESTO FIORE E MERAVIGLIOSO,ESTA FLOR E MARAVILHOSA
ISKAM TAZI YABALKA,I WANT THIS APPLE,JE VEUX CETTE POMME,BA MHAITH LIOM AN ULL SEO,ICH WILL DIESEN APFEL,THELO AFTO TO MILO,QUIERO ESTA MANZANA,JAG VILL HA DET HAR APPLET,VOGLIO QUESTA MELA,EU QUERO ESSA MACA
ISKAM DA ZATVORISH VRATATA,I WANT YOU TO CLOSE THE DOOR,JE VEUX QUE TU FERMES LA PORTE,BA MHAITH LIOM TU A DHUNADH AN DORAS,"ICH MOCHTE, DASS SIE DIE TUR SCHLIESSEN",THELO NA KLEISEIS TIN PORTA,QUIERO QUE CIERRES LA PUERTA,JAG VILL ATT DU STANGER DORREN,VOGLIO CHE TU CHIUDA LA PORTA,EU QUERO QUE VOCE FECHE A PORTA
ISKAM DA STANA LEKAR,I WANT TO BECOME A DOCTOR,JE VEUX DEVENIR DOCTEUR,BA MHAITH LIOM A BHEITH I MO DHOCHTUIR,ICH MOCHTE ARZT WERDEN,THELO NA GINO GIATROS,QUIERO SER MEDICO,JAG VILL BLI EN DOKTOR,VOGLIO DIVENTARE UN DOTTORE,EU QUERO ME TORNAR UM MEDICO
ISKAM DA NAPRAVYA DRUGITE HORA SHTASTLIVI,I WANT TO MAKE OTHER PEOPLE HAPPY,JE VEUX RENDRE LES AUTRES HEUREUX,BA MHAITH LIOM A DHEANAMH SASTA LE DAOINE EILE,ICH MOCHTE ANDEREN MENSCHEN EINE FREUDE MACHEN,THELO NA KANO TOUS ALLOUS ANTHROPOUS EFTYCHISMENOUS,QUIERO HACER FELICES A OTRAS PERSONAS,JAG VILL GORA ANDRA MANNISKOR GLADA,VOGLIO RENDERE FELICI GLI ALTRI,EU QUERO FAZER OUTRAS PESSOAS FELIZES
ISKAM DA GOVORYA NA BALGARSKI EZIK,I WANT TO SPEAK THE BULGARIAN LANGUAGE,JE VEUX PARLER LA LANGUE BULGARE,BA MHAITH LIOM AN TEANGA BULGAIRIS A LABHAIRT,ICH MOCHTE DIE BULGARISCHE SPRACHE SPRECHEN,THELO NA MILISO TI VOULGARIKI GLOSSA,QUIERO HABLAR EL IDIOMA BULGARO,JAG VILL TALA DET BULGARISKA SPRAKET,VOGLIO PARLARE LA LINGUA BULGARA,EU QUERO FALAR A LINGUA BULGARA
ISKASH LI DA IZLEZESH S MEN TAZI VECHER,DO YOU WANT TO GO OUT WITH ME TONIGHT,VEUX TU SORTIR AVEC MOI CE SOIR,AR MHAITH LEAT DUL AMACH LIOM ANOCHT,WILLST DU HEUTE ABEND MIT MIR AUSGEHEN,THELEIS NA VGEIS MAZI MOU APOPSE,QUIERES SALIR CONMIGO ESTA NOCHE,VILL DU GA UT MED MIG IKVALL,VUOI USCIRE CON ME STASERA,VOCE QUER SAIR COMIGO ESTA NOITE
ISKAM,I DO,JE LE FAIS,DEANAIM,DAS TUE ICH,DECHOMAI,SI,JAG GOR,IO FACCIO,EU FACO
ISKAM DA BADA TVOYA,I WANT TO BE YOURS,JE VEUX VENIR LE TIENS,BA MHAITH LIOM A BHEITH LEATSA,ICH WILL DEIN SEIN,THELO NA GINO DIKOS SOU,QUIERO SER TUYO,JAG VILL VARA DIN,VOGLIO ESSERE TUO,EU QUERO SER SEU
IMAM NUZHDA OT POMOSHT,I NEED HELP,JE BESOIN AIDER,TEASTAIONN CUNAMH UAIM,ICH BRAUCHE HILFE,CHREIAZOMAI VOITHEIA,NECESITO AYUDA,JAG BEHOVER HJALP,HO BISOGNO DI AIUTO,EU PRECISO DE AJUDA
